date;open;close;high;low;vwap
2021-05-21;127.82;125.43;128.0;125.21;126.21333
2021-05-20;125.23;127.31;127.72;125.1;126.71
2021-05-19;123.16;124.69;124.92;122.88;124.16333
2021-05-18;126.56;124.85;126.99;124.78;125.54
2021-05-17;126.82;126.27;126.92;125.17;126.12
2021-05-14;126.25;127.45;127.89;125.85;127.06333
2021-05-13;124.58;124.97;126.15;124.26;125.12667
2021-05-12;123.4;122.77;124.64;122.25;123.22
2021-05-11;123.5;125.91;126.27;122.77;124.98333
2021-05-10;129.41;126.85;129.54;126.81;127.73333
2021-05-07;130.85;130.21;131.26;129.48;130.31667
2021-05-06;127.89;129.74;129.75;127.13;128.87333
2021-05-05;129.2;128.1;130.45;127.97;128.84
2021-05-04;131.19;127.85;131.49;126.7;128.68
2021-05-03;132.04;132.54;134.07;131.83;132.81333
2021-04-30;131.78;131.46;133.56;131.07;132.03
2021-04-29;136.47;133.48;137.07;132.45;134.33333
2021-04-28;134.31;133.58;135.02;133.08;133.89333
2021-04-27;135.01;134.39;135.41;134.11;134.63667
2021-04-26;134.83;134.72;135.06;133.56;134.44667
2021-04-23;132.16;134.32;135.12;132.16;133.86667
2021-04-22;133.04;131.94;134.15;131.41;132.5
2021-04-21;132.36;133.5;133.75;131.3;132.85
2021-04-20;135.02;133.11;135.53;131.81;133.48333
2021-04-19;133.51;134.84;135.47;133.34;134.55
2021-04-16;134.3;134.16;134.67;133.28;134.03667
2021-04-15;133.82;134.5;135.0;133.64;134.38
2021-04-14;134.940002;132.029999;135.0;131.660004;132.89667
2021-04-13;132.440002;134.429993;134.660004;131.929993;133.67333
2021-04-12;132.520004;131.240005;132.850006;130.630005;131.57334
2021-04-09;129.800003;133.0;133.039993;129.470001;131.83666
2021-04-08;128.949997;130.360001;130.389999;128.520004;129.75667
2021-04-07;125.830002;127.900002;127.919998;125.139999;126.98667
2021-04-06;126.5;126.209999;127.129997;125.650002;126.33
2021-04-05;123.870003;125.900002;126.160004;123.07;125.04334
2021-04-01;123.660004;123.0;124.18;122.489998;123.22333
2021-03-31;121.650002;122.150002;123.519997;121.150002;122.27333
2021-03-30;120.110001;119.900002;120.400002;118.860001;119.72
2021-03-29;121.650002;121.389999;122.580002;120.730003;121.56667
2021-03-26;120.349998;121.209999;121.480003;118.919998;120.53667
2021-03-25;119.540001;120.589996;121.660004;119.0;120.41667
2021-03-24;122.82;120.089996;122.900002;120.07;121.02
2021-03-23;123.330002;122.540001;124.239998;122.139999;122.97333
2021-03-22;120.330002;123.389999;123.870003;120.260002;122.50667
2021-03-19;119.900002;119.989998;121.43;119.68;120.36667
2021-03-18;122.879997;120.529999;123.18;120.32;121.34333
2021-03-17;124.050003;124.760002;125.860001;122.339996;124.32
2021-03-16;125.699997;125.57;127.220001;124.720001;125.83667
2021-03-15;121.410004;123.989998;124.0;120.419998;122.80333
2021-03-12;120.400002;121.029999;121.169998;119.160004;120.45333
2021-03-11;122.540001;121.959999;123.209999;121.260002;122.14333
2021-03-10;121.690002;119.980003;122.169998;119.449997;120.53333
2021-03-09;119.029999;121.089996;122.059998;118.790001;120.64667
2021-03-08;120.93;116.360001;121.0;116.209999;117.85667
2021-03-05;120.980003;121.419998;121.940002;117.57;120.31
2021-03-04;121.75;120.129997;123.599998;118.620003;120.78333
2021-03-03;124.809998;122.059998;125.709999;121.839996;123.20333
2021-03-02;128.410004;125.120003;128.720001;125.010002;126.28334
2021-03-01;123.75;127.790001;127.93;122.790001;126.17
2021-02-26;122.589996;121.260002;124.849998;121.199997;122.43667
2021-02-25;124.68;120.989998;126.459999;120.540001;122.66333
2021-02-24;124.940002;125.349998;125.559998;122.230003;124.38
2021-02-23;123.760002;125.860001;126.709999;118.389999;123.65333
2021-02-22;128.009995;126.0;129.720001;125.599998;127.10667
2021-02-19;130.240005;129.869995;130.710007;128.800003;129.79333
2021-02-18;129.199997;129.710007;130.0;127.410004;129.04
2021-02-17;131.25;130.839996;132.220001;129.470001;130.84333
2021-02-16;135.490005;133.190002;136.009995;132.789993;133.99666
2021-02-12;134.350006;135.369995;135.529999;133.690002;134.86333
2021-02-11;135.899994;135.130005;136.389999;133.770004;135.09667
2021-02-10;136.479996;135.389999;136.990005;134.399994;135.59333
2021-02-09;136.619995;136.009995;137.880005;135.850006;136.58
2021-02-08;136.029999;136.910004;136.960007;134.919998;136.26334
2021-02-05;137.350006;136.759995;137.419998;135.860001;136.68
2021-02-04;136.300003;137.389999;137.399994;134.589996;136.46
2021-02-03;135.759995;133.940002;135.770004;133.610001;134.44
2021-02-02;135.729996;134.990005;136.309998;134.610001;135.30333
2021-02-01;133.75;134.139999;135.380005;130.929993;133.48333
2021-01-29;135.830002;131.960007;136.740005;130.210007;132.97001
2021-01-28;139.520004;137.089996;141.990005;136.699997;138.59333
2021-01-27;143.429993;142.059998;144.300003;140.410004;142.25667
2021-01-26;143.600006;143.160004;144.300003;141.369995;142.94333
2021-01-25;143.070007;142.919998;145.089996;136.539993;141.51666
2021-01-22;136.279999;139.070007;139.850006;135.020004;137.98001
2021-01-21;133.800003;136.869995;139.669998;133.589996;136.71
2021-01-20;128.660004;132.029999;132.490005;128.550003;131.02334
2021-01-19;127.779999;127.830002;128.710007;126.940002;127.82667
2021-01-15;128.779999;127.139999;130.220001;127.0;128.12
2021-01-14;130.800003;128.910004;131.0;128.759995;129.55667
2021-01-13;128.759995;130.889999;131.449997;128.490005;130.27667
2021-01-12;128.5;128.800003;129.690002;126.860001;128.45
2021-01-11;129.190002;128.979996;130.169998;128.5;129.21666
2021-01-08;132.429993;132.050003;132.630005;130.229996;131.63667
2021-01-07;128.360001;130.919998;131.630005;127.860001;130.13667
2021-01-06;127.720001;126.599998;131.050003;126.379997;128.01
2021-01-05;128.889999;131.009995;131.740005;128.429993;130.39333
2021-01-04;133.520004;129.410004;133.610001;126.760002;129.92667
